amount,check,category
1000,24,Fraud
2162,24,Not Fraud
6283,13,Product
5699,29,Fraud
6479,1,Not Fraud
4225,23,Product
5644,14,Fraud
3799,9,Not Fraud
4516,14,Product
4325,8,Fraud
6248,3,Not Fraud
4530,23,Product
1967,21,Fraud
5203,30,Not Fraud
5939,22,Product
3259,1,Fraud
3996,6,Not Fraud
2001,4,Product
3913,12,Fraud
680,26,Not Fraud
3132,11,Product
6143,19,Fraud
5501,27,Not Fraud
2445,17,Product
5149,1,Fraud
520,12,Not Fraud
3251,16,Product
1110,26,Fraud
727,5,Not Fraud
2264,2,Product
1059,16,Fraud
1769,16,Not Fraud
1210,7,Product
4173,30,Fraud
527,26,Not Fraud
1054,27,Product
4400,2,Fraud
3000,8,Not Fraud
5835,13,Product
645,17,Fraud
2634,16,Not Fraud
6151,15,Product
4963,30,Fraud
5902,25,Not Fraud
6651,1,Product
3876,19,Fraud
4248,14,Not Fraud
2761,16,Product
6955,20,Fraud
6330,10,Not Fraud
1299,30,Product
3451,24,Fraud
2716,2,Not Fraud
1164,1,Product
3115,27,Fraud
3336,5,Not Fraud
6192,13,Product
617,13,Fraud
598,17,Not Fraud
4712,27,Product
6739,17,Fraud
5333,7,Not Fraud
1334,16,Product
979,13,Fraud
1434,12,Not Fraud
768,11,Product
495,2,Fraud
4718,6,Not Fraud
2708,19,Product
6267,27,Fraud
6994,4,Not Fraud
3516,22,Product
1251,14,Fraud
6826,29,Not Fraud
3875,30,Product
6159,19,Fraud
2990,3,Not Fraud
2031,28,Product
5835,17,Fraud
2053,11,Not Fraud
2804,18,Product
5046,29,Fraud
330,25,Not Fraud
3818,22,Product
1480,11,Fraud
3993,10,Not Fraud
6900,8,Product
1563,18,Fraud
993,2,Not Fraud
3439,27,Product
6105,20,Fraud
1061,6,Not Fraud
5078,13,Product
4732,2,Fraud
6489,3,Not Fraud
3544,9,Product
699,14,Fraud
2489,12,Not Fraud
1552,7,Product
3135,28,Fraud
1293,26,Not Fraud
4247,19,Product
3976,12,Fraud
1736,10,Not Fraud
3938,16,Product
6344,5,Fraud
1749,19,Not Fraud
240,26,Product
4481,6,Fraud
617,28,Not Fraud
2462,16,Product
6142,13,Fraud
1472,6,Not Fraud
1629,2,Product
5523,23,Fraud
601,28,Not Fraud
2162,5,Product
2016,5,Fraud
3829,20,Not Fraud
1314,12,Product
2671,11,Fraud
3553,24,Not Fraud
499,1,Product
339,22,Fraud
6747,23,Not Fraud
5765,15,Product
325,24,Fraud
1791,21,Not Fraud
4799,2,Product
2602,10,Fraud
2257,19,Not Fraud
5302,8,Product
5857,14,Fraud
2289,26,Not Fraud
5166,4,Product
1084,9,Fraud
3761,17,Not Fraud
2674,7,Product
4467,16,Fraud
283,6,Not Fraud
3939,18,Product
5960,20,Fraud
6442,26,Not Fraud
6183,10,Product
4219,23,Fraud
687,20,Not Fraud
5291,5,Product
1674,21,Fraud
3479,12,Not Fraud
6259,17,Product
4175,10,Fraud
6392,16,Not Fraud
6824,11,Product
4977,18,Fraud
3005,3,Not Fraud
1020,19,Product
4268,20,Fraud
2422,5,Not Fraud
3101,23,Product
866,10,Fraud
3974,7,Not Fraud
5668,24,Product
505,7,Fraud
5685,25,Not Fraud
5995,29,Product
6057,3,Fraud
4122,5,Not Fraud
6056,6,Product
5578,27,Fraud
1483,12,Not Fraud
2335,4,Product
3900,18,Fraud
3771,7,Not Fraud
3873,19,Product
5660,21,Fraud
6876,6,Not Fraud
6454,21,Product
1269,9,Fraud
5058,29,Not Fraud
6261,5,Product
2698,3,Fraud
5379,1,Not Fraud
476,1,Product
829,5,Fraud
6715,28,Not Fraud
3198,21,Product
3479,25,Fraud
2564,2,Not Fraud
5225,30,Product
300,2,Fraud
5911,15,Not Fraud
3867,20,Product
1259,12,Fraud
2798,7,Not Fraud
6997,30,Product
514,12,Fraud
3135,30,Not Fraud
486,18,Product
3386,10,Fraud
3922,26,Not Fraud
5021,16,Product
1512,5,Fraud
4322,8,Not Fraud
4117,18,Product
208,25,Fraud
3926,20,Not Fraud
3795,3,Product
3452,26,Fraud
4031,11,Not Fraud
1798,18,Product
5309,28,Fraud
3666,8,Not Fraud
2963,13,Product
4514,7,Fraud
1022,10,Not Fraud
2161,14,Product
1126,13,Fraud
4879,2,Not Fraud
2567,7,Product
3223,26,Fraud
1995,25,Not Fraud
2334,29,Product
3887,24,Fraud
5063,19,Not Fraud
6409,26,Product
2163,16,Fraud
4083,9,Not Fraud
1596,16,Product
